name,price,ram_gb,ssd_gb,screen_size_inch,processor_brand
Asus VivoBook Go 14 E1404FA-NK3325W...,31990,8,512,14.0,AMD
Acer Aspire 3 A311-45 (UN.354SI.004...,17990,8,256,11.6,Intel
Asus Vivobook Go 15 E1504FA-NJ5542W...,41500,16,512,15.6,AMD
Lenovo LOQ 15ARP9 (83JC00CLIN) Lapt...,63990,12,512,15.6,AMD
Apple MacBook Air M2 MC7W4HN/A Ultr...,77990,16,256,13.6,Apple
Samsung Galaxy Book 4 NP750XGJ-LG4I...,36990,8,512,15.6,Intel
Acer Aspire 3 A311-45 (UN.354SI.002...,19990,8,512,11.6,Intel
Acer Aspire 3 A311-45 (UN.354SI.006...,15990,8,128,11.6,Intel
Asus VivoBook 15 X1504ZA-NJ549WS La...,46990,16,512,15.6,Intel
Asus VivoBook 15 X1504ZA-NJ527WS La...,42990,8,512,15.6,Intel
Asus VivoBook 15 X1504ZA-NJ540WS La...,45990,16,512,15.6,Intel
Acer Aspire Lite AL15-53 (UN.34ESI....,33800,16,512,15.6,Intel
Asus TUF Gaming A15 FA566NCR-HN254W...,70026,16,512,15.6,AMD
Asus Vivobook Go 15 E1504FA-NJ131WS...,31990,8,512,15.6,AMD
Acer Aspire 3 A324-53 (UN.34RSI.00B...,29990,8,256,14.0,Intel
Acer Aspire 3 A324-53 (UN.34RSI.002...,33990,8,512,14.0,Intel
Asus Vivobook Go 15 E1504GA-NJ3322W...,30990,8,512,15.6,Intel
HP Pavilion 16-af0056TU (B13XTPA) L...,75990,16,0,16.0,Intel
Asus VivoBook 15 X1504VA-NJ2325WS L...,41990,16,512,15.6,Intel
Acer Aspire Lite AL15-52H (UN.347SI...,44990,12,512,15.6,Intel
HP 15-fd0577TU (BG6E4PA) Laptop (Co...,56990,16,512,15.6,Intel
HP 15s-GR0007AU (21W93PA) Laptop (A...,35274,4,0,15.6,AMD
Asus ExpertBook P1 P1403CVA-S60938W...,39990,16,512,14.0,Intel
Asus ExpertBook P1 P1503CVA-S71074W...,39990,16,512,15.6,Intel
Asus ExpertBook P1 P1503CVA-S70501W...,37990,8,512,15.6,Intel
Asus ExpertBook P1 P1403CVA-S60343W...,37990,8,512,14.0,Intel
Acer Aspire Lite AL15-41 (UN.31ZSI....,35990,16,512,15.6,AMD
Acer Aspire Lite AL15-41 (UN.31ZSI....,41690,16,0,15.6,AMD
Acer Aspire Lite AL15-41 (UN.31ZSI....,39999,16,512,15.6,AMD
Apple MacBook Air M3 MXCU3HN/A Ultr...,127990,16,512,13.6,Apple
Asus ExpertBook P1 P1503CVA-S70611W...,55990,16,512,15.6,Intel
Asus ExpertBook P1 P1403CVA-S60939W...,62990,32,512,14.0,Intel
Asus VivoBook 15 X1504VA-NJ2217WS L...,55990,16,512,15.6,Intel
Asus VivoBook 15 X1504VA-NJ1765WS L...,45990,8,512,15.6,Intel
Dell Vostro 3520 (VN3520CYGGW002ORG...,49990,16,512,15.6,Intel
Dell Vostro 3520 (VN35205KF55002ORG...,42990,8,512,15.6,Intel
Asus VivoBook 15 X515JA-BQ322WS Lap...,27990,8,512,15.6,Intel
Acer Aspire 3 A324-53 (UN.34RSI.007...,51990,16,0,14.0,Intel
Acer Aspire 3 A324-53 (UN.34RSI.004...,48990,16,512,14.0,Intel
Acer Aspire 3 A324-53 (UN.34RSI.006...,46990,8,512,14.0,Intel
Acer Aspire 7 A715-79G (UN.34NSI.00...,57990,8,512,15.6,Intel
Asus Vivobook Go 15 E1504FA-NJ549WS...,40990,16,512,15.6,AMD
Lenovo Ideapad Slim 5x 14Q8X9 (83HL...,64990,16,0,14.0,Other
Asus VivoBook Go 14 E1404FA-NK3321W...,33990,8,512,14.0,AMD
Lenovo IdeaPad 15ALC7 (82R4010DIN) ...,37990,16,512,15.6,AMD
Lenovo IdeaPad Slim 3 14IAH8 (83EQ0...,48800,16,512,14.0,Intel
Acer Aspire 3 A325-42 (UN.34QSI.002...,38990,16,512,15.8,AMD
Acer Aspire 3 A325-42 (UN.34QSI.001...,36990,8,512,15.8,AMD
Acer Nitro V ANV15-41 (NH.QPESI.001...,84999,16,512,15.6,AMD
Lenovo 100e Chromebook Gen 4 (82W00...,9499,4,0,11.6,Other
Asus Vivobook Go 15 E1504FA-NJ132WS...,36990,8,512,15.6,AMD
Acer One 14 Z8-415 (UN.31VSI.006) L...,29990,16,512,14.0,Intel
Dell Vostro 3520 (VN3520HPCNX001ORB...,33990,8,512,15.6,Intel
Dell Vostro 3520 (VN3520CYGGW001SDG...,50989,16,512,15.6,Intel
Acer Aspire 3 A325-42 (UN.34QSI.006...,29990,8,512,15.6,AMD
Apple MacBook Air M4 MC6T4HN/A Ultr...,94990,16,256,13.6,Apple
Asus VivoBook Go 14 E1404FA-NK5542W...,41990,16,512,14.0,AMD
Asus VivoBook Go 14 E1404FA-NK5541W...,41988,16,512,14.0,AMD
Lenovo IdeaPad 3 14IAU7 (82RJ00FUIN...,34249,8,512,14.0,Intel
Acer Aspire 3 A325-45 (UN.344SI.004...,23990,8,512,15.6,Intel
HP Victus 15-fa1351TX (A18QBPA) Lap...,56990,16,512,15.6,Intel
Apple MacBook Air M3 MRYR3HN/A Ultr...,134900,8,256,15.3,Apple
Asus VivoBook 15 X543UA-DM582T Lapt...,39990,8,0,15.6,Intel
Samsung Galaxy Book 4 Pro NP940XGK-...,131990,16,512,14.0,Intel
HP 15-BE014tx (1HQ27PA) Laptop (Cor...,35929,4,0,15.6,Intel
Lenovo V15 (82TTA07RIH) Laptop (Cor...,42990,16,512,15.6,Intel
Lenovo LOQ 15IAX9E (83LK0068IN) Lap...,68990,12,512,15.6,Intel
Lenovo V15 Gen 3 (82TTA07QIH) Lapto...,41990,8,512,15.6,Intel
Apple MacBook Air M4 MW123HN/A Ultr...,94990,16,256,13.6,Apple
HP 255 G10 (B1FW9PT) Laptop (AMD Qu...,26900,8,512,15.6,AMD
Acer Aspire 3 A325-42 (UN.34QSI.004...,49990,16,0,15.6,AMD
Acer Aspire 3 A325-42 (UN.34QSI.003...,46990,16,512,15.6,AMD
Motorola Motobook 60 14IRH10R (83J7...,66990,16,512,14.0,Intel
Motorola Moto Book 60 14IRH10R (83J...,66990,16,512,14.0,Intel
Dell G15 5530 (OGN55301106G201RINO)...,74990,16,0,15.6,Intel
HP Victus 15-fa2703TX (B7GP6PA) Lap...,61490,16,512,15.6,Intel
Dell G15 5530 (OGN55301124G01RIN) L...,71990,16,512,15.6,Intel
Acer Aspire E E5-576 (UN.GRSSI.005...,25990,4,0,15.6,Intel
Lenovo LOQ 15ARP9 Gen 9 (83JC0046IN...,87990,24,512,15.6,AMD
HP 15-fd0467TU (B61ZHPA) Laptop (Co...,54990,16,512,15.6,Intel
Lenovo IdeaPad Slim 3 14IAH8 (83EQ0...,49990,16,512,14.0,Intel
Asus VivoBook 15 X1502VA-BQ837WS La...,66972,16,512,15.6,Intel
Asus VivoBook 15 X1502VA-BQ838WS La...,61990,16,512,15.6,Intel
Asus VivoBook 14 X1404VA-NK760WS La...,38990,8,512,14.0,Intel
Acer Aspire 3 A325-45 (UN.344SI.005...,24800,8,256,15.6,Intel
Asus VivoBook 14 X1404VA-NK761WS La...,38689,8,512,14.0,Intel
Lenovo Ideapad S340 (81NB00F6IN) La...,44990,8,0,14.0,AMD
Motorola Moto Book 60 14IRH10R (83J...,74990,16,512,14.0,Intel
Motorola Moto Book 60 14IRH10R (83J...,78990,16,0,14.0,Intel
Motorola Moto Book 60 14IRH10R (83J...,78990,16,0,14.0,Intel
Motorola Moto Book 60 14IRH10R (83J...,74990,16,512,14.0,Intel
Dell Vostro 3520 (VN3520VMN67002ORG...,32990,8,512,15.6,Intel
Lenovo LOQ 15ARP9 Gen 9 (83JC0045IN...,79990,24,512,15.6,AMD
Apple MacBook Air M4 MC6C4HN/A Ultr...,134990,24,512,13.6,Apple
Apple MacBook Air M4 MW133HN/A Ultr...,119900,16,512,13.6,Apple
Apple MacBook Air M4 MC6U4HN/A Ultr...,119900,16,512,13.6,Apple
Apple MacBook Air M4 MW0W3HN/A Ultr...,95990,16,256,13.6,Apple
Apple MacBook Air M4 MW0X3HN/A Ultr...,119900,16,512,13.6,Apple
Apple MacBook Air M4 MC654HN/A Ultr...,134990,24,512,13.6,Apple
Apple MacBook Air M4 MC6V4HN/A Ultr...,134990,24,512,13.6,Apple
Apple MacBook Air M4 MW0Y3HN/A Ultr...,95990,16,256,13.6,Apple
Apple MacBook Air M4 MC6A4HN/A Ultr...,134990,24,512,13.6,Apple
Apple MacBook Air M4 MW103HN/A Ultr...,119900,16,512,13.6,Apple
