name,name_c,img,price,no_rates,rating_100,released,system_name,processor,windows,storage,display,Wifi,bluetooth,camera,slim,hdmi,usb,spec_score
Asus VivoBook Go 14 E1404FA-NK3325W...,Asus VivoBook Go 14 E1404FA-NK3325WS Laptop (AMD Quad Core Ryzen 3/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1404fa-nk3325ws-168068-v1-small-1.jpg?tr=q-80,31990,2430,84,Jan 2025,- Windows 11,AMD Quad-Core Ryzen 3 (7320U) 4.1 Ghz,Windows 11,"8 GB LPDDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,74
Acer Aspire 3 A311-45 (UN.354SI.004...,Acer Aspire 3 A311-45 (UN.354SI.004) Laptop (Intel Celeron Dual Core/8 GB/256 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a311-45-un-354si-004-167160-v1-small-1.jpg?tr=q-80,17990,1528,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 256 GB SSD","11.6"" (29.46 cm), 1366 x 768 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 16.8 mm,HDMI Port,,
Asus Vivobook Go 15 E1504FA-NJ5542W...,Asus Vivobook Go 15 E1504FA-NJ5542WS Laptop (AMD Quad Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1504fa-nj5542ws-169700-v1-small-1.jpg?tr=q-80,41500,1065,84,May 2025,- Windows 11,AMD Quad-Core Ryzen 5 (7520U) 4.3 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,74
Lenovo LOQ 15ARP9 (83JC00CLIN) Lapt...,Lenovo LOQ 15ARP9 (83JC00CLIN) Laptop (AMD Quad Core Ryzen 5/12 GB/512 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-15arp9-83jc00clin-169593-v1-small-1.jpg?tr=q-80,63990,369,86,May 2025,- Windows 11,AMD Quad-Core Ryzen 5 (7235HS) 4.2 Ghz,Windows 11,"12 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,81
Apple MacBook Air M2 MC7W4HN/A Ultr...,Apple MacBook Air M2 MC7W4HN/A Ultrabook (Apple M2/16 GB/256 GB SSD/macOS Sequoia) price in India,//www.91-img.com/pictures/laptops/apple/apple-m2-mc7w4hn-a-165735-v1-small-1.jpg?tr=q-80,77990,19250,94,Nov 2024,- macOS Sequoia,"Apple M2, Octa-Core",macOS Sequoia,"16 GB Unified Memory RAM, 256 GB SSD","13.6"" (34.54 cm), 2560 x 1664 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 11.3 mm,,,81
Samsung Galaxy Book 4 NP750XGJ-LG4I...,Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/samsung/samsung-np750xgj-lg4in-164643-v1-small-1.jpg?tr=q-80,36990,4067,90,Sep 2024,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB LPDDR4X RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 15.4 mm,HDMI Port,,72
Acer Aspire 3 A311-45 (UN.354SI.002...,Acer Aspire 3 A311-45 (UN.354SI.002) Laptop (Intel Celeron Dual Core/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a311-45-un-354si-002-167189-v1-small-1.jpg?tr=q-80,19990,1528,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","11.6"" (29.46 cm), 1366 x 768 px Display",Wi-fi,Bluetooth,Web Camera,Slim 16.8 mm,HDMI Port,,
Acer Aspire 3 A311-45 (UN.354SI.006...,Acer Aspire 3 A311-45 (UN.354SI.006) Laptop (Celeron Dual Core/8 GB/128 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a311-45-un-354si-006-167199-v1-small-1.jpg?tr=q-80,15990,1528,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 128 GB SSD","11.6"" (29.46 cm), 1366 x 768 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 16.8 mm,HDMI Port,,
Asus VivoBook 15 X1504ZA-NJ549WS La...,Asus VivoBook 15 X1504ZA-NJ549WS Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504za-nj549ws-164810-v1-small-1.jpg?tr=q-80,46990,7791,84,Sep 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,75
Asus VivoBook 15 X1504ZA-NJ527WS La...,Asus VivoBook 15 X1504ZA-NJ527WS Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504za-nj527ws-166588-v1-small-1.jpg?tr=q-80,42990,7783,84,Dec 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,
